Degree,Major,Skills,Certifications,GPA,Internship_Experience,Number_of_Projects,Job_Role
MCA,Information Technology,"AWS, Machine Learning, Python, TensorFlow",None,8.49,1.0,3,Data Scientist
M.Tech,Information Technology,"Deep Learning, Machine Learning, Python, TensorFlow",PMP,8.66,3.0,2,AI Engineer
M.Tech,Data Science,"AWS, Java, Machine Learning, Python, SQL, TensorFlow",AWS,9.04,2.0,6,Data Scientist
B.Tech,Data Science,"AWS, Azure, Docker, Git, JavaScript, Kubernetes, Linux, Python",AWS,,0.0,3,DevOps Engineer
BCA,Computer Science,"Git, Python, SQL",AWS,7.93,1.0,1,Software Developer
BCA,Computer Science,"Deep Learning, Machine Learning, Python, SQL, TensorFlow",AWS,7.99,2.0,5,Data Scientist
B.Sc,Information Technology,"Azure, Git, Java, MongoDB, SQL, TensorFlow",AWS,7.24,3.0,2,Backend Developer
MCA,Information Technology,"Deep Learning, Java, MongoDB, Python, TensorFlow",AWS,8.98,3.0,3,AI Engineer
MCA,Data Science,"Java, JavaScript, Linux, Node.js, React",AWS,7.68,0.0,5,Frontend Developer
B.Tech,Information Technology,"C++, Git, Java, Node.js, Python, SQL",None,7.64,2.0,1,Backend Developer
MCA,Computer Science,"AWS, Azure, Docker, Kubernetes, Linux, MongoDB, React",Google Cloud,7.37,2.0,1,Cloud Engineer
BCA,Data Science,"Java, Node.js, Python, SQL",Azure,6.81,1.0,3,Backend Developer
B.Tech,Computer Science,"AWS, Azure, Docker, Git, Kubernetes, Linux, Python",PMP,8.52,2.0,2,DevOps Engineer
B.Sc,Information Technology,"C++, Java, Python, SQL",AWS,6.37,2.0,2,Backend Developer
B.Tech,Computer Science,"AWS, C++, Git, Java, Kubernetes",AWS,7.4,3.0,4,Software Developer
B.E,Data Science,"Git, JavaScript, Kubernetes, Machine Learning, PHP, React",,8.34,1.0,3,Frontend Developer
B.Tech,Information Technology,"Git, Java, JavaScript, Python, React, SQL",Cisco,8.0,0.0,6,Software Developer
B.Tech,Electronics,"AWS, C++, Deep Learning, Machine Learning, Python, TensorFlow",None,8.83,3.0,5,AI Engineer
MCA,Data Science,"Deep Learning, Machine Learning, Python, SQL, TensorFlow",AWS,8.74,3.0,2,Data Scientist
MCA,Electronics,"Deep Learning, Git, JavaScript, PHP, React",AWS,8.65,2.0,4,Frontend Developer
B.Tech,Data Science,"Deep Learning, Java, Python",Azure,7.51,1.0,1,AI Engineer
BCA,Computer Science,"Java, Node.js, Python",AWS,6.07,2.0,3,Backend Developer
B.Tech,Computer Science,"C++, Git, Python, React, SQL",Google Cloud,6.79,1.0,2,Software Developer
B.Sc,Computer Science,"C++, Git, Node.js, Python, SQL",,9.41,2.0,6,Software Developer
B.Tech,Electronics,"AWS, C++, Deep Learning, Machine Learning, Python, TensorFlow",Google Cloud,,1.0,3,AI Engineer
M.Tech,Computer Science,"Azure, Docker, Kubernetes, Linux, React",AWS,7.36,0.0,4,Cloud Engineer
B.Tech,Computer Science,"Azure, Docker, Linux, Python",Azure,8.56,1.0,4,Cloud Engineer
B.E,Data Science,"Azure, Kubernetes, Linux, React",Azure,6.97,1.0,4,Cloud Engineer
B.Tech,Data Science,"Deep Learning, Machine Learning, MongoDB, Python, React, TensorFlow",,8.06,1.0,7,Data Scientist
M.Tech,Information Technology,"AWS, Docker, Git, Kubernetes, Linux",AWS,6.5,2.0,1,DevOps Engineer
M.Tech,Computer Science,"AWS, Azure, C++, Deep Learning, Docker, Linux",AWS,7.94,2.0,5,Cloud Engineer
B.Sc,Computer Science,"C++, Git, JavaScript, PHP, React, SQL",None,7.34,2.0,4,Frontend Developer
BCA,Information Technology,"AWS, Machine Learning, Node.js, Python, SQL, TensorFlow",AWS,7.83,,8,Data Scientist
B.E,Computer Science,"Azure, C++, Java, JavaScript, Python, SQL",PMP,7.11,1.0,3,Software Developer
BCA,Computer Science,"AWS, Azure, Docker, Kubernetes, Linux",Google Cloud,7.46,2.0,2,Cloud Engineer
MCA,Data Science,"Java, SQL",,7.0,0.0,4,Software Developer
MCA,Data Science,"AWS, Azure, Deep Learning, Kubernetes, Linux, React",PMP,6.65,2.0,1,Cloud Engineer
B.Tech,Electronics,"JavaScript, Python, SQL",Google Cloud,8.74,2.0,2,Software Developer
M.Tech,Electronics,"Azure, C++, Deep Learning, Kubernetes, Machine Learning, Python, TensorFlow",Google Cloud,7.89,3.0,6,AI Engineer
MCA,Computer Science,"Git, Java, MongoDB, Node.js, Python, SQL",Cisco,7.28,3.0,2,Backend Developer
B.E,Information Technology,"Git, Java, MongoDB, Node.js, Python, SQL",Azure,6.07,1.0,2,Backend Developer
BCA,Data Science,"Docker, Kubernetes, MongoDB, Python, SQL",Google Cloud,6.94,1.0,2,Backend Developer
B.Tech,Data Science,"Azure, Deep Learning, Machine Learning, Python, SQL",AWS,8.57,1.0,6,Data Scientist
B.Tech,Data Science,"AWS, Azure, Docker, Kubernetes, Linux, Node.js, PHP",AWS,8.29,0.0,3,Cloud Engineer
M.Tech,Electronics,"C++, Deep Learning, Machine Learning, MongoDB, Python, TensorFlow",AWS,8.89,3.0,4,AI Engineer
B.Sc,Data Science,"AWS, Azure, Kubernetes, Linux, Node.js",AWS,6.47,3.0,4,Cloud Engineer
B.Tech,Information Technology,"Git, JavaScript, Machine Learning, React",None,6.95,0.0,3,Frontend Developer
B.Tech,Information Technology,"Azure, C++, Git, Java, Python, SQL",Azure,7.89,1.0,3,Software Developer
M.Tech,Data Science,"C++, Deep Learning, Machine Learning, Python, React, SQL, TensorFlow",None,8.24,,5,Data Scientist
M.Tech,Information Technology,"Deep Learning, Python, TensorFlow",,9.57,2.0,5,AI Engineer
BCA,Information Technology,"Git, JavaScript, MongoDB, PHP, React",AWS,7.41,2.0,5,Frontend Developer
B.Tech,Computer Science,"AWS, Azure, Java, Node.js, SQL",AWS,8.33,0.0,1,Backend Developer
B.E,Electronics,"C++, Git, JavaScript, Python, SQL",Azure,5.97,2.0,3,Software Developer
MCA,Computer Science,"C++, Java, JavaScript, Python, SQL",Cisco,8.09,1.0,5,Software Developer
B.E,Data Science,"AWS, Docker, Git, Kubernetes, Linux, PHP, Python, React",AWS,7.85,2.0,2,DevOps Engineer
B.E,Computer Science,"C++, JavaScript, Node.js, PHP, React",AWS,7.77,2.0,3,Frontend Developer
BCA,Information Technology,"AWS, Azure, Docker, Git, Kubernetes, Linux",Azure,7.82,2.0,2,Cloud Engineer
MCA,Electronics,"Git, JavaScript, Node.js",PMP,8.71,3.0,4,Frontend Developer
B.Sc,Computer Science,"Deep Learning, Git, Machine Learning, Python, SQL, TensorFlow",AWS,7.38,2.0,5,Data Scientist
MCA,Computer Science,"Deep Learning, Docker, Kubernetes, Machine Learning, Python, SQL, TensorFlow",None,8.35,3.0,8,Data Scientist
B.Tech,Data Science,"C++, Deep Learning, JavaScript, Machine Learning, Node.js, Python, TensorFlow",Google Cloud,8.82,2.0,5,AI Engineer
M.Tech,Computer Science,"AWS, C++, Linux, Machine Learning, Python, TensorFlow",Google Cloud,9.09,1.0,5,Data Scientist
B.Tech,Computer Science,"AWS, Azure, Docker, Kubernetes, Linux",AWS,6.69,1.0,4,Cloud Engineer
MCA,Computer Science,"Machine Learning, Python, TensorFlow",Google Cloud,7.91,2.0,7,AI Engineer
MCA,Electronics,"C++, Deep Learning, Machine Learning, Node.js, Python, TensorFlow",None,8.19,,6,AI Engineer
MCA,Electronics,"C++, Git, Linux, MongoDB, Node.js, Python",AWS,8.4,1.0,1,Backend Developer
M.Tech,Computer Science,"Deep Learning, PHP, Python, SQL, TensorFlow",None,7.54,2.0,4,Data Scientist
BCA,Information Technology,"AWS, Azure, Docker, JavaScript, Kubernetes, Linux, Node.js",Azure,7.59,0.0,2,Cloud Engineer
B.Tech,Computer Science,"AWS, Azure, Kubernetes, Linux",AWS,6.9,1.0,2,Cloud Engineer
BCA,Information Technology,"Azure, Git, JavaScript, Node.js, PHP, React",None,7.91,0.0,6,Frontend Developer
BCA,Electronics,"AWS, Azure, Docker, Kubernetes",AWS,8.5,2.0,2,Cloud Engineer
M.Tech,Computer Science,"Deep Learning, Machine Learning, Python, TensorFlow",AWS,9.62,2.0,4,AI Engineer
M.Tech,Data Science,"AWS, Azure, C++, Docker, Git, Kubernetes, Linux, MongoDB",AWS,8.5,2.0,2,DevOps Engineer
BCA,Information Technology,"Git, JavaScript, Linux, Node.js, PHP, React, TensorFlow",None,8.72,1.0,1,Frontend Developer
M.Tech,Computer Science,"AWS, Deep Learning, Git, Machine Learning, MongoDB, Python, TensorFlow",None,7.56,2.0,2,Data Scientist
M.Tech,Data Science,"Kubernetes, Machine Learning, React, SQL, TensorFlow",Azure,8.83,2.0,5,Data Scientist
B.Tech,Information Technology,"Deep Learning, Git, MongoDB, Python",AWS,7.15,0.0,4,Backend Developer
M.Tech,Computer Science,"Deep Learning, Java, Machine Learning, Python, SQL, TensorFlow",Azure,7.05,3.0,5,Data Scientist
MCA,Computer Science,"C++, Deep Learning, Git, Python, SQL, TensorFlow",None,7.93,1.0,2,Data Scientist
B.Tech,Computer Science,"AWS, Azure, Docker, Git, JavaScript, Kubernetes, Linux, Python",AWS,6.15,3.0,3,DevOps Engineer
B.Tech,Computer Science,"AWS, Docker, Git, Kubernetes, Linux, Python",PMP,8.07,1.0,3,DevOps Engineer
B.Tech,Information Technology,"AWS, Azure, Docker, Linux, SQL",Cisco,9.33,1.0,4,Cloud Engineer
MCA,Computer Science,"AWS, Azure, Git, Kubernetes, Linux, Python",AWS,8.1,1.0,1,DevOps Engineer
B.Tech,Information Technology,"AWS, Azure, Deep Learning, Docker, Git, Kubernetes, Linux",AWS,7.1,1.0,3,DevOps Engineer
BCA,Computer Science,"Git, JavaScript, Linux, PHP, React",None,7.02,2.0,5,Frontend Developer
B.Sc,Information Technology,"Java, MongoDB, Python, SQL",AWS,6.08,3.0,1,Backend Developer
B.Sc,Electronics,"C++, Deep Learning, Linux, Machine Learning, Python, TensorFlow",None,8.3,1.0,5,AI Engineer
B.Tech,Data Science,"Git, Java",AWS,7.4,2.0,3,Software Developer
B.Tech,Computer Science,"Azure, Kubernetes, Linux, Python",AWS,8.28,1.0,4,Cloud Engineer
M.Tech,Data Science,"Machine Learning, Node.js, Python, TensorFlow",,8.05,,7,AI Engineer
M.Tech,Computer Science,"AWS, Azure, Deep Learning",Google Cloud,6.79,2.0,3,Cloud Engineer
M.Tech,Information Technology,"Azure, C++, Deep Learning, Machine Learning, Python, React, TensorFlow",Cisco,7.67,3.0,5,AI Engineer
BCA,Computer Science,"AWS, Git, Java, Node.js, Python, SQL",None,7.91,1.0,4,Backend Developer
B.Sc,Data Science,"Deep Learning, Git, JavaScript, Machine Learning, Python, SQL, TensorFlow",None,7.55,3.0,2,Data Scientist
B.Tech,Information Technology,"Git, Java, MongoDB, SQL",Google Cloud,7.22,2.0,3,Backend Developer
B.Tech,Data Science,"Azure, Docker, Git, Kubernetes, Linux, Python",AWS,8.8,,2,DevOps Engineer
B.Tech,Data Science,"Git, Linux, MongoDB, Python",Google Cloud,8.87,1.0,4,DevOps Engineer
B.Tech,Computer Science,"AWS, Docker, Git, JavaScript, Kubernetes, Linux",AWS,8.02,1.0,3,DevOps Engineer
B.Tech,Electronics,"Deep Learning, Git, Machine Learning, Python, SQL, TensorFlow",None,8.31,2.0,9,Data Scientist
B.Tech,Data Science,"C++, Git, Java, Machine Learning, PHP, SQL",Cisco,8.93,3.0,4,Software Developer
B.Tech,Computer Science,"C++, Deep Learning, Linux, Machine Learning, Python, TensorFlow",Google Cloud,7.4,3.0,8,AI Engineer
M.Tech,Electronics,"C++, Git, Java, MongoDB, Node.js, Python, SQL",AWS,9.53,1.0,3,Backend Developer
B.Tech,Computer Science,"Azure, C++, Kubernetes, Linux",,8.5,3.0,1,Cloud Engineer
B.Tech,Computer Science,"Java, Kubernetes, PHP, Python, SQL",Azure,6.3,1.0,2,Software Developer
B.Tech,Computer Science,"Git, JavaScript, MongoDB, PHP, Python, SQL",AWS,8.14,1.0,2,Software Developer
BCA,Information Technology,"Git, JavaScript, Node.js, React",None,6.69,3.0,5,Frontend Developer
B.Tech,Information Technology,"AWS, Azure, Docker, Linux, PHP",AWS,7.9,1.0,3,Cloud Engineer
B.Tech,Data Science,"Git, JavaScript, PHP, React",None,7.41,1.0,4,Frontend Developer
M.Tech,Information Technology,"Kubernetes, Machine Learning, PHP, Python, SQL, TensorFlow",Azure,9.03,2.0,1,Data Scientist
B.Tech,Information Technology,"Deep Learning, Java, Machine Learning, Python, TensorFlow",,8.37,3.0,4,AI Engineer
M.Tech,Computer Science,"C++, Kubernetes, Python, React, TensorFlow",Google Cloud,7.98,1.0,4,AI Engineer
B.Tech,Information Technology,"Deep Learning, Machine Learning, Python, SQL, TensorFlow",None,7.78,2.0,3,AI Engineer
M.Tech,Computer Science,"C++, Machine Learning, Python, TensorFlow",Azure,8.5,1.0,2,AI Engineer
B.Tech,Computer Science,"Azure, Git, Java, Python, SQL",Azure,7.69,1.0,3,Software Developer
BCA,Computer Science,"Git, Java, Python, SQL",None,6.16,3.0,4,Backend Developer
B.Sc,Computer Science,"AWS, Deep Learning, Machine Learning, Python, SQL",None,8.99,1.0,1,Data Scientist
B.Sc,Information Technology,"Deep Learning, Git, JavaScript, Node.js, React",AWS,6.1,3.0,2,Frontend Developer
MCA,Computer Science,"AWS, Azure, Docker, JavaScript, TensorFlow",Google Cloud,8.58,2.0,2,Cloud Engineer
M.Tech,Computer Science,"Azure, Docker, Git, Java, Kubernetes",AWS,9.41,1.0,3,DevOps Engineer
M.Tech,Data Science,"Deep Learning, Machine Learning, MongoDB, Python, SQL, TensorFlow",PMP,7.43,1.0,4,Data Scientist
B.Tech,Electronics,"AWS, Azure, C++, Kubernetes, Linux, MongoDB",AWS,6.76,1.0,3,Cloud Engineer
MCA,Data Science,"AWS, Azure, Docker, Kubernetes, Linux, Node.js",AWS,9.03,2.0,4,Cloud Engineer
B.Tech,Electronics,"AWS, Docker, Git, Kubernetes, Linux, Python",Azure,8.17,0.0,1,DevOps Engineer
B.Tech,Data Science,"C++, Git, Java, JavaScript, Kubernetes, Python, SQL",None,6.35,1.0,4,Software Developer
M.Tech,Computer Science,"Deep Learning, Java, Machine Learning, Python, React, TensorFlow",Google Cloud,8.54,2.0,1,AI Engineer
MCA,Electronics,"AWS, Azure, Docker, Kubernetes, Linux",Google Cloud,8.33,0.0,1,Cloud Engineer
BCA,Information Technology,"Azure, Git, JavaScript, MongoDB, React",None,7.22,0.0,4,Frontend Developer
MCA,Information Technology,"AWS, Azure, Kubernetes, Python",Azure,6.81,2.0,2,Cloud Engineer
B.Sc,Information Technology,"Docker, Git, Java, MongoDB, Node.js, SQL",None,6.09,0.0,4,Backend Developer
M.Tech,Computer Science,"Git, Java, MongoDB, Node.js, SQL",PMP,6.44,1.0,2,Backend Developer
MCA,Data Science,"Git, JavaScript, React",Google Cloud,8.53,2.0,6,Frontend Developer
B.Tech,Information Technology,"Docker, Git, Java, MongoDB, Node.js, Python, SQL",None,8.15,,3,Backend Developer
BCA,Computer Science,"AWS, Docker, Git, Java, Node.js, Python, SQL",Cisco,8.4,2.0,2,Backend Developer
B.Tech,Data Science,"Docker, Git, Java, MongoDB, Node.js, Python, SQL",None,6.38,0.0,3,Backend Developer
B.Tech,Information Technology,"Git, JavaScript, PHP, React",None,7.29,1.0,4,Frontend Developer
M.Tech,Data Science,"AWS, Azure, Docker, Kubernetes, Linux, Python",AWS,8.51,2.0,3,Cloud Engineer
B.Tech,Computer Science,"AWS, Git, Linux, Python",Cisco,8.4,2.0,3,DevOps Engineer
MBA,Computer Science,"Azure, Git, JavaScript, Node.js",Google Cloud,7.09,2.0,1,Frontend Developer
B.Sc,Electronics,"AWS, Deep Learning, Machine Learning, Python, React, SQL, TensorFlow",Google Cloud,7.19,3.0,1,Data Scientist
M.Tech,Computer Science,"Deep Learning, Git, JavaScript, Machine Learning, Python, SQL",AWS,7.6,1.0,1,Data Scientist
B.Tech,Computer Science,"Deep Learning, Git, Java, Linux, Node.js, Python, SQL",PMP,5.95,2.0,1,Backend Developer
B.Tech,Electronics,"Azure, Git, Java, Python",Azure,7.37,2.0,1,Software Developer
MCA,Information Technology,"Deep Learning, Java, Machine Learning, Node.js, Python, TensorFlow",Google Cloud,8.9,2.0,8,AI Engineer
B.Tech,Computer Science,"AWS, Azure, C++, Docker, Java, Kubernetes, Linux",AWS,8.29,1.0,2,Cloud Engineer
B.Tech,Electronics,"AWS, Azure, Git, Kubernetes",Google Cloud,7.64,2.0,1,Cloud Engineer
MCA,Computer Science,"Azure, Java, JavaScript, Python, SQL",Google Cloud,6.94,1.0,1,Software Developer
B.Tech,Information Technology,"Deep Learning, Machine Learning, Python, SQL, TensorFlow",None,7.98,1.0,5,Data Scientist
MCA,Electronics,"C++, Git, JavaScript, Node.js, PHP, React",Cisco,7.93,2.0,6,Frontend Developer
M.Tech,Information Technology,"Git, JavaScript, Machine Learning, Python, SQL, TensorFlow",AWS,8.73,2.0,2,Data Scientist
B.Tech,Computer Science,"Docker, Git, JavaScript, React, SQL",Azure,4.72,2.0,2,Frontend Developer
BCA,Computer Science,"AWS, Azure, Docker, Kubernetes, Linux",Azure,6.75,2.0,3,Cloud Engineer
B.Sc,Information Technology,"Azure, C++, Kubernetes, Python",Azure,8.44,3.0,6,AI Engineer
B.Sc,Information Technology,"Git, JavaScript, React",AWS,6.98,3.0,4,Frontend Developer
M.Tech,Computer Science,"Git, Java, MongoDB, Python, SQL, TensorFlow",Google Cloud,7.2,2.0,2,Backend Developer
M.Tech,Data Science,"C++, Deep Learning, Git, Machine Learning, MongoDB, Python, TensorFlow",,8.06,1.0,5,AI Engineer
MCA,Electronics,"C++, Git, JavaScript, MongoDB, SQL",AWS,8.1,1.0,1,Software Developer
B.Sc,Computer Science,"Deep Learning, Python, TensorFlow",Azure,8.52,2.0,5,AI Engineer
B.Sc,Electronics,"Docker, Git, JavaScript, PHP, React, TensorFlow",None,7.64,0.0,4,Frontend Developer
B.Tech,Data Science,"Machine Learning, Node.js, PHP, SQL",None,6.05,2.0,3,Backend Developer
B.Tech,Data Science,"C++, Git, Java, JavaScript, Machine Learning, Python, SQL",PMP,7.79,0.0,1,Software Developer
B.Tech,Computer Science,"Git, Java, MongoDB, Node.js",AWS,8.09,1.0,4,Backend Developer
B.Tech,Electronics,"Git, JavaScript, Node.js, PHP, React",None,6.52,2.0,3,Frontend Developer
BCA,Computer Science,"AWS, Git, Java, Python, SQL",None,8.4,1.0,4,Backend Developer
MBA,Computer Science,"AWS, Deep Learning, Machine Learning, Node.js, Python, SQL",AWS,8.13,,5,Data Scientist
BCA,Computer Science,"C++, Git, JavaScript, Node.js, React",PMP,8.22,1.0,3,Frontend Developer
B.Tech,Computer Science,"AWS, Azure, Docker, Kubernetes, Linux, Machine Learning, React",Azure,8.57,1.0,2,Cloud Engineer
B.E,Computer Science,"AWS, Azure, Git, Kubernetes, Linux, TensorFlow",Google Cloud,8.4,2.0,3,Cloud Engineer
B.Sc,Information Technology,"C++, Git, MongoDB, Python, SQL",None,8.5,1.0,3,Software Developer
M.Tech,Computer Science,"Deep Learning, JavaScript, Machine Learning, Python, SQL, TensorFlow",Azure,7.39,2.0,3,Data Scientist
M.Tech,Information Technology,"Machine Learning, PHP, Python, SQL",None,7.82,2.0,5,Data Scientist
B.Tech,Computer Science,"Git, MongoDB, Node.js, Python, SQL",None,9.48,1.0,2,Backend Developer
MCA,Data Science,"AWS, Deep Learning, Docker, Machine Learning, Node.js, Python, SQL",Google Cloud,8.19,1.0,2,Data Scientist
B.Tech,Electronics,"Git, JavaScript, Linux, React",None,9.42,2.0,3,Frontend Developer
M.Tech,Computer Science,"Azure, Docker, Git, Linux, Machine Learning, PHP",AWS,7.29,1.0,3,DevOps Engineer
M.Tech,Computer Science,"AWS, Deep Learning, Machine Learning, Python, SQL",AWS,8.32,2.0,1,Data Scientist
MCA,Computer Science,"Git, JavaScript, Kubernetes, React",None,7.72,2.0,2,Frontend Developer
M.Tech,Electronics,"Deep Learning, Machine Learning, Python, TensorFlow",None,9.29,3.0,4,Data Scientist
MCA,Data Science,"AWS, Azure, C++, Deep Learning, Machine Learning, Python, SQL",AWS,8.27,3.0,5,Data Scientist
B.Tech,Information Technology,"AWS, Machine Learning, Python, SQL, TensorFlow",AWS,7.98,1.0,4,Data Scientist
M.Tech,Computer Science,"C++, Deep Learning, Docker, Machine Learning, Python, TensorFlow",Azure,7.58,3.0,3,AI Engineer
B.Sc,Information Technology,"Deep Learning, Git, JavaScript, Node.js, PHP, React",AWS,6.75,3.0,5,Frontend Developer
MBA,Information Technology,"Deep Learning, Machine Learning, Python, React, SQL",None,7.9,1.0,4,Data Scientist
M.Tech,Information Technology,"Machine Learning, PHP, Python, SQL",Google Cloud,8.76,2.0,5,Data Scientist
BCA,Computer Science,"Azure, Git, JavaScript, MongoDB, Node.js, PHP, React",PMP,6.25,2.0,8,Frontend Developer
MCA,Data Science,"Java, MongoDB, Node.js, Python, SQL",Cisco,6.19,2.0,2,Backend Developer
M.Tech,Computer Science,"Git, JavaScript, React",AWS,8.6,0.0,5,Frontend Developer
MCA,Electronics,"Machine Learning, Python, TensorFlow",None,8.39,2.0,3,Data Scientist
B.Tech,Data Science,"MongoDB, PHP, React, SQL",AWS,5.71,2.0,3,Backend Developer
B.Tech,Computer Science,"Azure, Git, Java, MongoDB, Node.js, SQL",PMP,8.15,1.0,1,Backend Developer
B.Sc,Computer Science,"AWS, Git, Java, JavaScript, MongoDB",PMP,6.26,0.0,2,Backend Developer
M.Tech,Information Technology,"Deep Learning, Machine Learning, Python, TensorFlow",AWS,8.04,1.0,7,AI Engineer
BCA,Data Science,"Java, SQL",None,8.18,1.0,4,Backend Developer
B.Sc,Data Science,"Deep Learning, Java, Machine Learning, Python, SQL, TensorFlow",Azure,8.02,1.0,4,Data Scientist
M.Tech,Computer Science,"Deep Learning, Machine Learning, Python, React, TensorFlow",Google Cloud,8.12,3.0,2,AI Engineer
B.Tech,Information Technology,"AWS, Azure, Docker, Git, Kubernetes, Linux, MongoDB, Node.js, Python",AWS,8.0,2.0,3,DevOps Engineer
M.Tech,Information Technology,"AWS, Azure, Docker, Git, Kubernetes, Linux, Python",Azure,7.29,0.0,3,DevOps Engineer
B.Tech,Data Science,"AWS, Machine Learning, MongoDB, Python, SQL, TensorFlow",None,8.37,2.0,2,Data Scientist
MCA,Computer Science,"C++, Deep Learning, Kubernetes, Machine Learning, Python, TensorFlow",Google Cloud,8.18,2.0,9,AI Engineer
B.Sc,Information Technology,"AWS, Deep Learning, Machine Learning, PHP, Python, SQL, TensorFlow",None,8.32,2.0,4,Data Scientist
B.Tech,Information Technology,"AWS, Azure, Docker, Kubernetes, SQL",AWS,7.36,2.0,3,Cloud Engineer
MBA,Computer Science,"Git, JavaScript, PHP, React",PMP,8.3,2.0,3,Frontend Developer
BCA,Data Science,"C++, Git, JavaScript, Node.js, PHP, React",Cisco,6.15,2.0,2,Frontend Developer
B.Sc,Data Science,"AWS, Deep Learning, Machine Learning, Python, SQL",Google Cloud,8.97,1.0,3,Data Scientist
MCA,Computer Science,"Deep Learning, Java, JavaScript, Node.js, Python, SQL",None,6.48,2.0,1,Backend Developer
B.Tech,Information Technology,"AWS, Azure, Docker, JavaScript, Linux, PHP",AWS,6.99,,2,Cloud Engineer
M.Tech,Information Technology,"AWS, Azure, Kubernetes, Linux",Azure,6.33,2.0,2,Cloud Engineer
BCA,Information Technology,"C++, Git, JavaScript, PHP, Python, React",None,6.57,1.0,1,Frontend Developer
M.Tech,Information Technology,"AWS, Java, Linux, TensorFlow",Azure,8.38,2.0,3,Cloud Engineer
B.E,Computer Science,"Azure, Docker, Git, Kubernetes, Linux, Machine Learning, Python, SQL",AWS,7.72,3.0,3,DevOps Engineer
M.Tech,Electronics,"Deep Learning, Linux, Machine Learning, Python, SQL, TensorFlow",AWS,8.18,1.0,2,Data Scientist
M.Tech,Computer Science,"Deep Learning, Docker, Machine Learning, Node.js, Python, TensorFlow",Azure,7.05,2.0,5,AI Engineer
BCA,Computer Science,"C++, Git, Java, Node.js, Python, SQL",AWS,7.39,2.0,2,Backend Developer
B.Tech,Information Technology,"AWS, Docker, Git, Kubernetes, Linux, Python",Google Cloud,8.01,1.0,2,DevOps Engineer
BCA,Information Technology,"Deep Learning, JavaScript, Python, TensorFlow",Azure,7.85,2.0,5,AI Engineer
MBA,Information Technology,"Deep Learning, Machine Learning, Python, SQL, TensorFlow",Google Cloud,8.03,1.0,4,Data Scientist
B.Sc,Information Technology,"AWS, Git, JavaScript, PHP",Google Cloud,7.28,1.0,5,Frontend Developer
B.Sc,Computer Science,"Git, MongoDB, Node.js, Python, SQL",Google Cloud,8.96,0.0,2,Backend Developer
BCA,Information Technology,"AWS, Git, Java, MongoDB, Node.js, SQL",AWS,7.92,3.0,2,Backend Developer
M.Tech,Computer Science,"C++, Deep Learning, Docker, Python, TensorFlow",None,8.93,2.0,8,AI Engineer
M.Tech,Computer Science,"Deep Learning, Machine Learning, Python",Google Cloud,,1.0,4,AI Engineer
